"prov_site","office","custNum","invNum","invoicDate","payDate","balance","totalCharg","tax","po_number","isDeleted","CreatedDate"
"104F","Sugar Land Diabetes Center","null","104F051800","2018-07-13T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-07-13T00:00:00.0000000"
"104L","Karin M Johnson PsyD","null","104L051800","2018-07-14T00:00:00.0000000","null","79.900","79.900","0.000","                    ","False","2018-07-14T00:00:00.0000000"
"104M","Meridian Vision","null","104M051800","2018-07-15T00:00:00.0000000","null","68.000","68.000","0.000","                    ","False","2018-07-15T00:00:00.0000000"
"104O","Kaufman Eye Care Center, OD","null","104O051800","2018-07-16T00:00:00.0000000","null","73.300","73.300","0.000","                    ","False","2018-07-16T00:00:00.0000000"
"104S","Montshire Pediatrics","null","104S051800","2018-07-17T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-07-17T00:00:00.0000000"
"104T","Ana Gavrilovici, MD","null","104T051800","2018-07-18T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-07-18T00:00:00.0000000"
"104Y","Thomas M Kelly OD","null","104Y051800","2018-07-19T00:00:00.0000000","null","73.300","73.300","0.000","                    ","False","2018-07-19T00:00:00.0000000"
"105B","Rosenthal Eye and Facial Plast","null","105B051800","2018-07-20T00:00:00.0000000","null","116.000","116.000","0.000","                    ","False","2018-07-20T00:00:00.0000000"
"105D","UM-First State Foot & Ankle","null","105D051800","2018-07-21T00:00:00.0000000","null","232.960","232.960","0.000","                    ","False","2018-07-21T00:00:00.0000000"
"105H","Cedar Falls Counseling Associa","null","105H051800","2018-07-22T00:00:00.0000000","null","44.900","44.900","0.000","                    ","False","2018-07-22T00:00:00.0000000"
"105X","Nancy Johnson Counseling","null","105X051800","2018-07-23T00:00:00.0000000","null","60.440","60.440","0.000","                    ","False","2018-07-23T00:00:00.0000000"
"105Y","Lorna McKenzie-Pollock","null","105Y051800","2018-07-24T00:00:00.0000000","null","39.900","39.900","0.000","                    ","False","2018-07-24T00:00:00.0000000"
"106","Terry A. Surtin, D.C.","null","106051800","2018-05-12T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-05-12T00:00:00.0000000"
"106E","Back Cove Family Chiropractic","null","106E051800","2018-07-25T00:00:00.0000000","null","195.540","195.540","0.000","                    ","False","2018-07-25T00:00:00.0000000"
"106O","Sydney T Wright Jr MD","null","106O051800","2018-07-26T00:00:00.0000000","null","209.390","209.390","0.000","                    ","False","2018-07-26T00:00:00.0000000"
"106R","PhyFocus","null","106R051800","2018-07-27T00:00:00.0000000","null","3357.990","3357.990","0.000","                    ","False","2018-07-27T00:00:00.0000000"
"106U","Vidalia Eyecare Center","null","106U051800","2018-07-28T00:00:00.0000000","null","403.820","403.820","0.000","                    ","False","2018-07-28T00:00:00.0000000"
"106X","Columbus Primary Care","null","106X051800","2018-07-29T00:00:00.0000000","null","235.010","235.010","0.000","                    ","False","2018-07-29T00:00:00.0000000"
"107C","Lady Lake Family Medicine","null","107C051800","2018-07-30T00:00:00.0000000","null","696.810","696.810","0.000","                    ","False","2018-07-30T00:00:00.0000000"
"107F","Families In Focus","null","107F051800","2018-07-31T00:00:00.0000000","null","137.900","137.900","0.000","                    ","False","2018-07-31T00:00:00.0000000"
"107G","Freedom Medical Clinic, PA","null","107G051800","2018-08-01T00:00:00.0000000","null","426.360","426.360","0.000","                    ","False","2018-08-01T00:00:00.0000000"
"107X","LoVette Chiropractic Clinic","null","107X051800","2018-08-02T00:00:00.0000000","null","204.410","204.410","0.000","                    ","False","2018-08-02T00:00:00.0000000"
"1080","Appleman Podiatry LLC","null","1080051800","2018-08-03T00:00:00.0000000","null","423.780","423.780","0.000","                    ","False","2018-08-03T00:00:00.0000000"
"1083","BJC Home Health Services","null","1083051800","2018-08-04T00:00:00.0000000","null","337.330","337.330","0.000","                    ","False","2018-08-04T00:00:00.0000000"
"1089","Allergy and Asthma Care","null","1089051800","2018-08-05T00:00:00.0000000","null","862.160","862.160","0.000","                    ","False","2018-08-05T00:00:00.0000000"
"108D","Harlingen Eye Clinic","null","108D051800","2018-08-06T00:00:00.0000000","null","43.000","43.000","0.000","                    ","False","2018-08-06T00:00:00.0000000"
"108L","Lakeville Family Eye Care, PA","null","108L051800","2018-08-07T00:00:00.0000000","null","433.820","433.820","0.000","                    ","False","2018-08-07T00:00:00.0000000"
"108M","Volk Chiropractic","null","108M051800","2018-08-08T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-08-08T00:00:00.0000000"
"108N","Clarus Optical LLC","null","108N051800","2018-08-09T00:00:00.0000000","null","1395.870","1395.870","0.000","                    ","False","2018-08-09T00:00:00.0000000"
"109B","M E Thurmond-Anderle, MD","null","109B051800","2018-08-10T00:00:00.0000000","null","209.390","209.390","0.000","                    ","False","2018-08-10T00:00:00.0000000"
"109I","David Gottlieb PHD","null","109I051800","2018-08-11T00:00:00.0000000","null","10.500","10.500","0.000","                    ","False","2018-08-11T00:00:00.0000000"
"109J","Capstone Eye Clinic","null","109J051800","2018-08-12T00:00:00.0000000","null","90.080","90.080","0.000","                    ","False","2018-08-12T00:00:00.0000000"
"109S","Douglas J Kelley, OD","null","109S051800","2018-08-13T00:00:00.0000000","null","82.800","82.800","0.000","                    ","False","2018-08-13T00:00:00.0000000"
"109W","Psychiatric Consultants of Sta","null","109W051800","2018-08-14T00:00:00.0000000","null","75.500","75.500","0.000","                    ","False","2018-08-14T00:00:00.0000000"
"10A6","Sohail Shayfer MD","null","10A6051800","2018-08-15T00:00:00.0000000","null","168.480","168.480","0.000","                    ","False","2018-08-15T00:00:00.0000000"
"10A9","Cedar Hill Chiropractic PC","null","10A9051800","2018-08-16T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-08-16T00:00:00.0000000"
"10AI","Ruth A Salkin OD PA","null","10AI051800","2018-08-17T00:00:00.0000000","null","68.000","68.000","0.000","                    ","False","2018-08-17T00:00:00.0000000"
"10AJ","Dr. Kress Eyecare Associates","null","10AJ051800","2018-08-18T00:00:00.0000000","null","626.180","626.180","0.000","                    ","False","2018-08-18T00:00:00.0000000"
"10AK","Dr Kress Eyecare Associates","null","10AK051800","2018-08-19T00:00:00.0000000","null","436.020","436.020","0.000","                    ","False","2018-08-19T00:00:00.0000000"
"10AL","Dr  Michael Hartman","null","10AL051800","2018-08-20T00:00:00.0000000","null","49.300","49.300","0.000","                    ","False","2018-08-20T00:00:00.0000000"
"10B0","Advanced Dermatology-Mohs and","null","10B0051800","2018-08-21T00:00:00.0000000","null","1479.000","1479.000","0.000","                    ","False","2018-08-21T00:00:00.0000000"
"10B4","Clarksville Internal Medicine","null","10B4051800","2018-08-22T00:00:00.0000000","null","204.410","204.410","0.000","                    ","False","2018-08-22T00:00:00.0000000"
"10B5","Lenoir Family Medicine","null","10B5051800","2018-08-23T00:00:00.0000000","null","1439.930","1439.930","0.000","                    ","False","2018-08-23T00:00:00.0000000"
"10BK","Dabs Medical Billing II","null","10BK051800","2018-08-24T00:00:00.0000000","null","1006.800","1006.800","0.000","                    ","False","2018-08-24T00:00:00.0000000"
"10BN","Valley Tumor Medical Group Inc","null","10BN051800","2018-08-25T00:00:00.0000000","null","17.260","17.260","0.000","                    ","False","2018-08-25T00:00:00.0000000"
"10BV","Bangor Plastic and Hand Surger","null","10BV051800","2018-08-26T00:00:00.0000000","null","809.910","809.910","0.000","                    ","False","2018-08-26T00:00:00.0000000"
"10C1","Rose Hill Family Physicians","null","10C1051800","2018-08-27T00:00:00.0000000","null","7.130","7.130","0.000","                    ","False","2018-08-27T00:00:00.0000000"
"10C5","Air Evac EMS Inc","null","10C5051800","2018-08-28T00:00:00.0000000","null","273.350","273.350","0.000","                    ","False","2018-08-28T00:00:00.0000000"
"10CB","UM-Medical Associates of Bear","null","10CB051800","2018-08-29T00:00:00.0000000","null","543.560","543.560","0.000","                    ","False","2018-08-29T00:00:00.0000000"
"10CC","UM- Family Practice of Hocke","null","10CC051800","2018-08-30T00:00:00.0000000","null","542.710","542.710","0.000","                    ","False","2018-08-30T00:00:00.0000000"
"10CD","Park Lane Eye Care","null","10CD051800","2018-08-31T00:00:00.0000000","null","186.460","186.460","0.000","                    ","False","2018-08-31T00:00:00.0000000"
"10CE","UM- Nieva DuQue-Salva, MD PA","null","10CE051800","2018-09-01T00:00:00.0000000","null","11.850","11.850","0.000","                    ","False","2018-09-01T00:00:00.0000000"
"10CL","The Allergy Clinic","null","10CL051800","2018-09-02T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-09-02T00:00:00.0000000"
"10CT","LRC - MD","null","10CT051800","2018-09-03T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-09-03T00:00:00.0000000"
"10CY","Jefferson County Internal Med","null","10CY051800","2018-09-04T00:00:00.0000000","null","318.000","318.000","0.000","                    ","False","2018-09-04T00:00:00.0000000"
"10D3","Work Systems Rehab and Fitness","null","10D3051800","2018-09-05T00:00:00.0000000","null","285.500","285.500","0.000","                    ","False","2018-09-05T00:00:00.0000000"
"10D5","NDC Family Care","null","10D5051800","2018-09-06T00:00:00.0000000","null","199.410","199.410","0.000","                    ","False","2018-09-06T00:00:00.0000000"
"10DA","Lehigh Valley Family Practice","null","10DA051800","2018-09-07T00:00:00.0000000","null","246.520","246.520","0.000","                    ","False","2018-09-07T00:00:00.0000000"
"10DB","Med-Staff Pediatrics","null","10DB051800","2018-09-08T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-09-08T00:00:00.0000000"
"10DC","Elizabeth Getter, MD, PLLC","null","10DC051800","2018-09-09T00:00:00.0000000","null","39.900","39.900","0.000","                    ","False","2018-09-09T00:00:00.0000000"
"10DS","East Louisville Psychology Gro","null","10DS051800","2018-09-10T00:00:00.0000000","null","75.500","75.500","0.000","                    ","False","2018-09-10T00:00:00.0000000"
"10DY","Holistic Chiropractic & Rehab","null","10DY051800","2018-09-11T00:00:00.0000000","null","204.410","204.410","0.000","                    ","False","2018-09-11T00:00:00.0000000"
"10DZ","Samuel L Church MD PC","null","10DZ051800","2018-09-12T00:00:00.0000000","null","852.810","852.810","0.000","                    ","False","2018-09-12T00:00:00.0000000"
"100","Discerning Eye","null","10E1051800","2018-09-13T00:00:00.0000000","null","55.500","55.500","0.000","                    ","False","2018-09-13T00:00:00.0000000"
"10EF","Vita Anksh MD","null","10EF051800","2018-09-15T00:00:00.0000000","null","465.010","465.010","0.000","                    ","False","2018-09-15T00:00:00.0000000"
"10EP","Total Rehab of Baton Rouge","null","10EP051800","2018-09-16T00:00:00.0000000","null","114.630","114.630","0.000","                    ","False","2018-09-16T00:00:00.0000000"
"10EQ","South Atlanta Neurology & Spin","null","10EQ051800","2018-09-17T00:00:00.0000000","null","235.010","235.010","0.000","                    ","False","2018-09-17T00:00:00.0000000"
"10ES","Psychological Solutions LLC","null","10ES051800","2018-09-18T00:00:00.0000000","null","49.300","49.300","0.000","                    ","False","2018-09-18T00:00:00.0000000"
"10EX","Gerrard W Rudmin, OD","null","10EX051800","2018-09-19T00:00:00.0000000","null","186.460","186.460","0.000","                    ","False","2018-09-19T00:00:00.0000000"
"10EZ","Govind Patel MD","null","10EZ051800","2018-09-20T00:00:00.0000000","null","194.430","194.430","0.000","                    ","False","2018-09-20T00:00:00.0000000"
"10F1","Ogdensburg Family Practice","null","10F1051800","2018-09-21T00:00:00.0000000","null","603.640","603.640","0.000","                    ","False","2018-09-21T00:00:00.0000000"
"10F2","Susan Fukushima MD","null","10F2051800","2018-09-22T00:00:00.0000000","null","69.900","69.900","0.000","                    ","False","2018-09-22T00:00:00.0000000"
"10F4","UM- KHAN Obstetric & Gyneco","null","10F4051800","2018-09-23T00:00:00.0000000","null","367.520","367.520","0.000","                    ","False","2018-09-23T00:00:00.0000000"
"10F7","Kennewick Vision Care","null","10F7051800","2018-09-24T00:00:00.0000000","null","403.820","403.820","0.000","                    ","False","2018-09-24T00:00:00.0000000"
"10F9","Inland Imaging LLC","null","10F9051800","2018-09-25T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-09-25T00:00:00.0000000"
"10FD","Gianni Persich DPM","null","10FD051800","2018-09-26T00:00:00.0000000","null","236.550","236.550","0.000","                    ","False","2018-09-26T00:00:00.0000000"
"10FF","P Corey Jackson MD","null","10FF051800","2018-09-27T00:00:00.0000000","null","1416.960","1416.960","0.000","                    ","False","2018-09-27T00:00:00.0000000"
"10FL","Rommie Fakhoury MD","null","10FL051800","2018-09-28T00:00:00.0000000","null","225.510","225.510","0.000","                    ","False","2018-09-28T00:00:00.0000000"
"10FS","Eye Q Optometric","null","10FS051800","2018-09-29T00:00:00.0000000","null","93.300","93.300","0.000","                    ","False","2018-09-29T00:00:00.0000000"
"10FY","Woodway Chiropractic","null","10FY051800","2018-09-30T00:00:00.0000000","null","469.940","469.940","0.000","                    ","False","2018-09-30T00:00:00.0000000"
"10FZ","Phiroze Kazi MD","null","10FZ051800","2018-10-01T00:00:00.0000000","null","5.000","5.000","0.000","                    ","False","2018-10-01T00:00:00.0000000"
"10G0","Newport Avenue Optometry","null","10G0051800","2018-10-02T00:00:00.0000000","null","68.000","68.000","0.000","                    ","False","2018-10-02T00:00:00.0000000"
"10G1","Dr. John Christopher Hanford,","null","10G1051800","2018-10-03T00:00:00.0000000","null","38.000","38.000","0.000","                    ","False","2018-10-03T00:00:00.0000000"
"10G4","Pioneer Behavioral Health","null","10G4051800","2018-10-04T00:00:00.0000000","null","386.080","386.080","0.000","                    ","False","2018-10-04T00:00:00.0000000"
"10G8","Family Doctors","null","10G8051800","2018-10-05T00:00:00.0000000","null","423.780","423.780","0.000","                    ","False","2018-10-05T00:00:00.0000000"
"10GF","Vinings Family Chiropractic an","null","10GF051800","2018-10-06T00:00:00.0000000","null","318.100","318.100","0.000","                    ","False","2018-10-06T00:00:00.0000000"
"10GM","Werking Medical Billing Inc","null","10GM051800","2018-10-07T00:00:00.0000000","null","2041.090","2041.090","0.000","                    ","False","2018-10-07T00:00:00.0000000"
"10GR","Medfirst Claims Mgmt - Udochi","null","10GR051800","2018-10-08T00:00:00.0000000","null","138.180","138.180","0.000","                    ","False","2018-10-08T00:00:00.0000000"
"10GW","Christopher Bechara MD","null","10GW051800","2018-10-09T00:00:00.0000000","null","316.460","316.460","0.000","                    ","False","2018-10-09T00:00:00.0000000"
"10H0","Haydel Clinic","null","10H0051800","2018-10-10T00:00:00.0000000","null","931.250","931.250","0.000","                    ","False","2018-10-10T00:00:00.0000000"
"10H3","Infant and Child Learning Cent","null","10H3051800","2018-10-11T00:00:00.0000000","null","75.500","75.500","0.000","                    ","False","2018-10-11T00:00:00.0000000"
"10HD","Executary Secretarial Systems","null","10HD051800","2018-10-12T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-10-12T00:00:00.0000000"
"10HE","Executary Secretarial Systems","null","10HE051800","2018-10-13T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-10-13T00:00:00.0000000"
"10HH","Executary Secretarial Systems","null","10HH051800","2018-10-14T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-10-14T00:00:00.0000000"
"10HK","Executary Secretarial Systems","null","10HK051800","2018-10-15T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-10-15T00:00:00.0000000"
"10HL","Executary Secretarial Systems","null","10HL051800","2018-10-16T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-10-16T00:00:00.0000000"
"10HN","Executary Secretarial Systems","null","10HN051800","2018-10-17T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-10-17T00:00:00.0000000"
"10HV","Buena Park Medical Group","null","10HV051800","2018-10-18T00:00:00.0000000","null","804.870","804.870","0.000","                    ","False","2018-10-18T00:00:00.0000000"
"10J5","Cosmos Eye Care","null","10J5051800","2018-10-19T00:00:00.0000000","null","211.460","211.460","0.000","                    ","False","2018-10-19T00:00:00.0000000"
"10JG","Ron Bates DO","null","10JG051800","2018-10-20T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-10-20T00:00:00.0000000"
"10JJ","Hardt Eye Clinic","null","10JJ051800","2018-10-21T00:00:00.0000000","null","73.300","73.300","0.000","                    ","False","2018-10-21T00:00:00.0000000"
"10JX","Premier Surgical Associates","null","10JX051800","2018-10-22T00:00:00.0000000","null","142.550","142.550","0.000","                    ","False","2018-10-22T00:00:00.0000000"
"10K0","Yarrington Physical Therapy &","null","10K0051800","2018-10-23T00:00:00.0000000","null","589.910","589.910","0.000","                    ","False","2018-10-23T00:00:00.0000000"
"10K1","Health First Rehab Chiropracti","null","10K1051800","2018-10-24T00:00:00.0000000","null","135.850","135.850","0.000","                    ","False","2018-10-24T00:00:00.0000000"
"10K2","Edwin G Egger MD","null","10K2051800","2018-10-25T00:00:00.0000000","null","204.410","204.410","0.000","                    ","False","2018-10-25T00:00:00.0000000"
"10K6","Fields Family Eye Care","null","10K6051800","2018-10-26T00:00:00.0000000","null","63.000","63.000","0.000","                    ","False","2018-10-26T00:00:00.0000000"
"10K9","UM- Middletown Family Care","null","10K9051800","2018-10-27T00:00:00.0000000","null","2025.170","2025.170","0.000","                    ","False","2018-10-27T00:00:00.0000000"
"10KB","Thomas J Suczewski MD","null","10KB051800","2018-10-28T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-10-28T00:00:00.0000000"
"10KD","Dr Ronald N Smith","null","10KD051800","2018-10-29T00:00:00.0000000","null","446.020","446.020","0.000","                    ","False","2018-10-29T00:00:00.0000000"
"10KG","Fairhaven Vision Clinic, PLLC","null","10KG051800","2018-10-30T00:00:00.0000000","null","75.000","75.000","0.000","                    ","False","2018-10-30T00:00:00.0000000"
"10KJ","Emily F Arsenault MD PA","null","10KJ051800","2018-10-31T00:00:00.0000000","null","2978.870","2978.870","0.000","                    ","False","2018-10-31T00:00:00.0000000"
"10KM","Litchfield Oncology","null","10KM051800","2018-11-01T00:00:00.0000000","null","635.770","635.770","0.000","                    ","False","2018-11-01T00:00:00.0000000"
"10KN","Andrew Kane","null","10KN051800","2018-11-02T00:00:00.0000000","null","39.900","39.900","0.000","                    ","False","2018-11-02T00:00:00.0000000"
"10KP","Pediatric Associates of Spring","null","10KP051800","2018-11-03T00:00:00.0000000","null","291.180","291.180","0.000","                    ","False","2018-11-03T00:00:00.0000000"
"10KT","Bali Surgical Practice","null","10KT051800","2018-11-04T00:00:00.0000000","null","488.090","488.090","0.000","                    ","False","2018-11-04T00:00:00.0000000"
"10KV","Center for Plastic Surgery at","null","10KV051800","2018-11-05T00:00:00.0000000","null","1001.230","1001.230","0.000","                    ","False","2018-11-05T00:00:00.0000000"
"10KW","Suncoast Pain Management, PA","null","10KW051800","2018-11-06T00:00:00.0000000","null","1307.250","1307.250","0.000","                    ","False","2018-11-06T00:00:00.0000000"
"10KX","Ambulance Services of McNairy","null","10KX051800","2018-11-07T00:00:00.0000000","null","44.900","44.900","0.000","                    ","False","2018-11-07T00:00:00.0000000"
"10KY","Ambulance Services of McKenzie","null","10KY051800","2018-11-08T00:00:00.0000000","null","44.900","44.900","0.000","                    ","False","2018-11-08T00:00:00.0000000"
"10KZ","Ambulance Services of Dyersbur","null","10KZ051800","2018-11-09T00:00:00.0000000","null","44.900","44.900","0.000","                    ","False","2018-11-09T00:00:00.0000000"
"10L0","Ambulance Srvcs Lexington","null","10L0051800","2018-11-10T00:00:00.0000000","null","39.900","39.900","0.000","                    ","False","2018-11-10T00:00:00.0000000"
"10L6","Dianna Brenner PhD","null","10L6051800","2018-11-11T00:00:00.0000000","null","39.900","39.900","0.000","                    ","False","2018-11-11T00:00:00.0000000"
"10LD","CMease Medical","null","10LD051800","2018-11-12T00:00:00.0000000","null","235.010","235.010","0.000","                    ","False","2018-11-12T00:00:00.0000000"
"10LF","Professional Eye Care","null","10LF051800","2018-11-13T00:00:00.0000000","null","43.300","43.300","0.000","                    ","False","2018-11-13T00:00:00.0000000"
"10M2","Mountaineer Health Care PLLC","null","10M2051800","2018-11-14T00:00:00.0000000","null","209.390","209.390","0.000","                    ","False","2018-11-14T00:00:00.0000000"
"10M4","C Patrick Sullivan, DO","null","10M4051800","2018-11-15T00:00:00.0000000","null","690.230","690.230","0.000","                    ","False","2018-11-15T00:00:00.0000000"
"10M5","Tacoma Psychology, PLLC","null","10M5051800","2018-11-16T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-11-16T00:00:00.0000000"
"10M7","Kaysville Clinic","null","10M7051800","2018-11-17T00:00:00.0000000","null","204.410","204.410","0.000","                    ","False","2018-11-17T00:00:00.0000000"
"10MG","Alexandria Geriatric Care","null","10MG051800","2018-11-18T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-11-18T00:00:00.0000000"
"10MN","Dr Arnold L Tropp","null","10MN051800","2018-11-19T00:00:00.0000000","null","268.380","268.380","0.000","                    ","False","2018-11-19T00:00:00.0000000"
"10MS","Spine Care of Tidewater PC","null","10MS051800","2018-11-20T00:00:00.0000000","null","457.100","457.100","0.000","                    ","False","2018-11-20T00:00:00.0000000"
"10MU","Logan Hematology and Oncology","null","10MU051800","2018-11-21T00:00:00.0000000","null","415.970","415.970","0.000","                    ","False","2018-11-21T00:00:00.0000000"
"10MV","Michael J Davidson OD","null","10MV051800","2018-11-22T00:00:00.0000000","null","900.710","900.710","0.000","                    ","False","2018-11-22T00:00:00.0000000"
"10MZ","Carl Zaycosky","null","10MZ051800","2018-11-23T00:00:00.0000000","null","341.050","341.050","0.000","                    ","False","2018-11-23T00:00:00.0000000"
"10N1","Bradford  Smith OD","null","10N1051800","2018-11-24T00:00:00.0000000","null","5.000","5.000","0.000","                    ","False","2018-11-24T00:00:00.0000000"
"10N3","Dr Richard Chang","null","10N3051800","2018-11-25T00:00:00.0000000","null","1069.530","1069.530","0.000","                    ","False","2018-11-25T00:00:00.0000000"
"10N6","Physical Medicine Rehab Clinic","null","10N6051800","2018-11-26T00:00:00.0000000","null","428.160","428.160","0.000","                    ","False","2018-11-26T00:00:00.0000000"
"10N9","Amfit Physical Therapy","null","10N9051800","2018-11-27T00:00:00.0000000","null","5.220","5.220","0.000","                    ","False","2018-11-27T00:00:00.0000000"
"10NA","Kevin L Henne","null","10NA051800","2018-11-28T00:00:00.0000000","null","464.530","464.530","0.000","                    ","False","2018-11-28T00:00:00.0000000"
"10NB","Valley Vision","null","10NB051800","2018-11-29T00:00:00.0000000","null","238.000","238.000","0.000","                    ","False","2018-11-29T00:00:00.0000000"
"10NL","Professionals in OBGYN","null","10NL051800","2018-11-30T00:00:00.0000000","null","98.400","98.400","0.000","                    ","False","2018-11-30T00:00:00.0000000"
"10NU","Dumfries Medical Clinic","null","10NU051800","2018-12-01T00:00:00.0000000","null","442.130","442.130","0.000","                    ","False","2018-12-01T00:00:00.0000000"
"10NW","David Falco, MD","null","10NW051800","2018-12-02T00:00:00.0000000","null","5.000","5.000","0.000","                    ","False","2018-12-02T00:00:00.0000000"
"10NX","Brown Chiropractic","null","10NX051800","2018-12-03T00:00:00.0000000","null","399.970","399.970","0.000","                    ","False","2018-12-03T00:00:00.0000000"
"10P4","A Plus Medical Supply","null","10P4051800","2018-12-04T00:00:00.0000000","null","351.000","351.000","0.000","                    ","False","2018-12-04T00:00:00.0000000"
"10Q1","First Choice Physical Therapy","null","10Q1051800","2018-12-05T00:00:00.0000000","null","1183.160","1183.160","0.000","                    ","False","2018-12-05T00:00:00.0000000"
"10QG","MCHS - Taylor Station Surgery","null","10QG051800","2018-12-06T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-12-06T00:00:00.0000000"
"10QW","Musculoskeletal Institute of L","null","10QW051800","2018-12-07T00:00:00.0000000","null","2436.000","2436.000","0.000","                    ","False","2018-12-07T00:00:00.0000000"
