"id","description","amount","newproduct","per","code"
"345","InsuranceCoverageDiscovery","0.0000","False","0","INSCOVDIS"
"346","COBRAINSURANCE","0.0000","False","13","INSURANCE"
"347","InterestIncome","0.0000","False","0","INTEREST"
"348","InternetServices","19.9500","True","13","ISP"
"349","LATEFEEOF11/2%FORBALOVER45DAYS(MIN$5)","0.0000","False","0","LATE"
"350","OriginalDocumentRetrieval","0.0000","True","30","LBORGDOCR"
"351","ProgrammingFee","0.0000","True","30","LBPROGRAM"
"352","SecureDocumentDestruction","2.2500","True","30","LBSECURE"
"353","BoxStorage","0.7500","True","30","LBSTORAGE"
"354","LicenseApplication","100.0000","True","40","LICENAPPL"
"355","LiveCompliance","0.0000","True","8","LIVECOMP"
"356","State/LocalityRequiredSalesTax","0.0000","True","0","LOCALTAX"
"357","paperResolveLockbox","0.8000","True","36","LOCKBOX"
"358","AdvancedCodingEdits","25.0000","True","3","MACCI"
"359","MedicarePartA","0.0000","True","3","MCRPTA"
"360","MDEdge","0.0000","True","0","MDEDGE"
"361","MODepartmentofHealthTransaction","0.0000","True","0","MDOH"
"362","Medigapcustomprogrammingfee","200.0000","True","0","MEDIGAP"
"363","MEDTECHSALE","0.0000","False","13","MEDTECH"
"364","MISCELLANEOUSDEPOSIT","0.0000","False","13","MISC"
"365","Modem","150.0000","False","13","MODEM"
"366","eobResolveInstitutional","0.0000","True","0","NHXSI"
"367","NPIApplication","150.0000","True","40","NPIAPPL"
"368","ReturnedCheck/ACHFee","15.0000","False","0","NSF"
"369","OpenSiteFee","25.0000","True","3","OAF"
"370","OnlineClaimsCorrection-Institutional","0.0000","True","37","OLCCI"
"371","OnlineClaimsCorrection-Professional","0.0000","True","37","OLCCP"
"372","RCMServices","0.0000","True","8","ORCM"
"373","RevenueCycleServicesML/PT","0.0000","False","0","ORCMML"
"374","WorkComp","0.3500","True","29","P2P"
"375","PMG-PALinkWebService","0.0000","True","8","PALINK"
"376","PaperResolve","0.0000","True","30","PAPERESLV"
"377","PatientExchange-OnlinePayments","15.0000","True","3","PEPAYMT"
"378","PatientExchange-RSPortal","15.0000","True","3","PEPMTRS"
"379","PatientExchange-OnlineStatements","0.2200","True","28","PESTMTS"
"380","Print&MailAdditionalPages","0.0700","True","30","PMADDLPGS"
"381","Postage&SpecialHandlingFees","0.0000","True","38","PMPOSTFEES"
"382","POSTAGEDEPOSITFORPATIENTSTATEMENTS","0.0000","False","13","POS"
"383","Correspondence","0.0000","True","30","PPRCORRSPN"
"384","PatientPay","0.0000","True","30","PPRPTNPAY"
"385","PaperPaymentConversion","0.0000","True","0","PPYMTCON"
"386","PQRILogic","0.0000","True","0","PQRILOGIC"
"387","PREVIOUSBALANCEDUEASOF07/31/97","0.0000","False","13","PREVBAL"
"388","PayerIntegration","1800.0000","False","13","PRGRMMG"
"389","Pricer","10.0000","True","8","PRICER"
"390","PricerInstitutional","0.0000","True","0","PRICERI"
"391","PrintandMail","1.0000","True","30","PRINTMAIL"
"392","BasicClaimsProcessing","0.0000","True","0","PRODCLAIMS"
"393","PropensitytoPay","0.0000","False","0","PROPENSITY"
"394","Postcards","0.5100","True","8","PSTCARDS"
"395","PatientAccessBundle","0.0000","False","0","PTACCSALL"
"396","PatientAccessBundle-Integrated","0.0000","False","0","PTACCSINT"
"397","PayerListEdits","100.0000","False","13","PYRLIST"
"398","QuickCollectLetterSeriesforpreviousmonth","10.9500","True","8","QCCOLLECT"
"399","QuickEDI","500.0000","False","13","QCEDI"
"400","QuickEligibility","0.0000","True","0","QCELIG"
"401","QuickClaimsEnrollmentFee","2100.0000","False","13","QCENROLL"
"402","QuickPostedRemits","0.1300","True","18","QCERN"
"403","PatientStatementInserts","0.1600","True","14","QCINSERTS"
"404","Non-ParClaimFee","0.2500","False","2","QCNONPAR"
"405","PaperClaimsPrintedforPreviousMonth","0.6900","True","1","QCPAPER"
"406","PayerTransactions-CSI","0.0000","False","0","QCPAYCSI"
"407","PayerTransactions-Eligibility","0.0000","False","0","QCPAYELIG"
"408","QuickClaimsPayerTransactionFee","0.0000","False","8","QCPAYER"
"409","PayerTransactions-Remits","0.0000","False","0","QCPAYREMIT"
"410","QuickPrintedRemits","0.0000","True","3","QCPERN"
"411","PatientStatementPostage","0.5000","True","4","QCPOSTAGE"
"412","QCPayerTranslationsTransactionFee","0.2500","False","0","QCPYRXLATE"
"413","QCPayerTranslationsSetUpFee","5000.0000","False","0","QCPYRXLSU"
"414","QuickReferrals","10.0000","True","0","QCREFR"
"415","PatientStatementsadditionalpages","0.1600","True","5","QCSNDPG"
"416","PatientStatements","0.7500","True","4","QCSTMTS"
"417","PatientStatements-DuplexBacks","0.0000","True","0","QCSTMTSX"
"418","On-SiteTraining","100.0000","False","13","QCTRAING"
"419","ClaimsTransactionFee","75.0000","False","0","QCTRAN"
"420","QuickClaimsSet-upFee","250.0000","False","13","QSEND"
"421","RevenueCycleMngmntAutomation","0.0000","True","0","RCMA"
"422","RCMBundle","0.0000","False","3","RCMBNDL"
"423","RCMS-EligibilityOnly","0.0000","False","0","RCMSELIG"
"424","RCMTotalOfficePackage","0.0000","True","3","RCMTOTAL"
"425","eobResolve+","0.0000","True","8","RECOVERY"
"426","Re-credentialing","100.0000","True","40","RECREDEN"
"427","Rent","1080.0000","False","0","RENT"
"428","RevenueHealthAssessment","0.0000","True","0","REVASSESS"
"429","RevenueOptimizationPlan","0.0000","True","0","REVCAREPLN"
"430","ReimbursementManager","29.0000","True","8","RMLITE"
"431","ReportManager","0.0000","True","0","RPTMGR"
"432","DONOTUSE-RealTimeClaimEdits","0.0000","False","0","RTCE"
"433","DONOTUSE-RTClaimEditingIntg","0.0000","False","0","RTCEINTG"
"434","DONOTUSE-RealTimeGEDIEdits","0.0000","False","0","RTGE"
"435","ActionEdits","0.0000","True","0","RTGEINTG"
"436","Real-timeAuthorizationsandReferrals","0.0000","True","41","RTHCSM"
"437","PatientResponsibilityEstimation","0.1800","True","39","RTPA"
"438","RealTimePaymentAssuranceIntegrated","25.0000","True","3","RTPAINTG"
"439","RealTimeUtilizationManagement","0.0000","True","0","RTUM"
"440","SavvyPackage","0.0000","True","3","SAVVY"
"441","Self-PayEligibility","0.0000","True","0","SELFPAY"
"442","InHouseTraining","50.0000","False","13","SEMINAR"
"443","Set-upFee-Credentialing","250.0000","True","40","SETUPCRED"
"444","Set-upFee-RCMS","200.0000","True","8","SETUPRCMS"
"445","SiteFee","75.0000","True","0","SITEFEE"
"446","SmartSolutions","0.0000","False","3","SMART"
"447","SmartPackageforML/PT","49.5000","True","25","SMARTML"
"448","Smartsheet10","0.0000","True","0","SMARTSHEET"
"449","SimpleClaim","0.0000","True","35","SMPLCLM"
"450","SecondaryOnlineClaimsCorrection","0.0000","True","8","SOCC"
"451","SecondaryOnlineSubmission","0.0000","True","27","SOS"
"452","StandardPackage","0.0000","False","0","STANDARD"
"453","StandardPackage-NoPaper","0.0000","False","0","STANDARDNP"
"454","PatientStatementAllocation","0.0000","True","0","STMTALLOCT"
"455","PatientStatementSetupFee","50.0000","True","0","STMTSETUP"
"456","SuitePackage","0.0000","True","3","SUITE"
"457","SupportFee","0.0000","True","0","SUPPORTFEE"
"458","SwiftPackage","0.0000","False","0","SWIFT"
"459","SwiftPackageCOB","0.0000","False","0","SWIFTCOB"
"460","SwiftPackageCOBwithIE","0.0000","False","0","SWIFTCOBIE"
"461","SwiftPackagewithIE","0.0000","False","0","SWIFTIE"
"462","SwiftPackageforML/PT","37.0500","True","25","SWIFTML"
"463","SwiftPackage-NoPaper","0.0000","False","0","SWIFTNP"
"464","TCPEligibility","0.0000","True","8","TCPELIG"
"465","TECHNOLOGYCONSULTANT","100.0000","False","13","TECHCONSUL"
"466","ThirdMillenium","0.0000","True","8","THIRDMIL"
"467","TimelyFilingLetter","0.0000","True","0","TIMELYLTR"
"468","TimesaverPackage","0.0000","False","0","TIMESVR"
"469","TimesaverPackage-NoPaper","0.0000","False","0","TIMESVRNP"
"470","TotalOfficePackageforML/PT","84.5000","True","25","TOTALML"
"471","TotalOfficeSolutions","0.0000","False","3","TOTALOFFIC"
"472","TotalOfficeSolutionsw/PaperResolve","0.0000","True","3","TOTALPPRS"
"473","TimesaverPackage","0.0000","False","0","TS200"
"474","TriZettoTouchlessAuthorizationProcess","0.0000","False","0","TTAP"
"475","WorkCompPaperClaims","1.2500","True","8","WAPER"
"476","WebClaimsTransmission2000","0.0000","True","0","WEBCLAIMS"
"477","WebMedicaidEligibilityTransactionFee","0.2000","False","0","WEBELIG"
"478","WEBRemits","0.0000","True","0","WEBERN"
"479","ElectronicAuthorizations","0.0000","True","41","WHCSM"
"480","WorkedFiles","0.0000","True","8","WORKEDFILE"
